point_index,q2
0,-150.0
1,-100.0
2,-60.0
3,-30.0
4,-15.0
5,-8.0
6,-4.0
7,-2.0
8,-1.0
9,-0.5
10,-0.39381791728872034
11,-0.39121970759337216
12,-0.3889226135356192
13,-0.3840881602359461
14,-0.37946846544411955
15,-0.3793138009958452
16,-0.3745987888237182
17,-0.3699423860133516
18,-0.36807020063565526
19,-0.36534386402849567
20,-0.3608025033888782
21,-0.3570143106289859
22,-0.3563175935576351
23,-0.3518884328301411
24,-0.3475143282242216
25,-0.34629051135834615
26,-0.3431945953717286
27,-0.33892855841146613
28,-0.33588882766507444
29,-0.3347155498834454
30,-0.33055491062445375
31,-0.32644598966492416
32,-0.3257995840188328
33,-0.32238814412708405
34,-0.3183807391243717
35,-0.3160133955175355
36,-0.314423147662102
37,-0.3105147505393684
38,-0.3066549362521627
39,-0.306521159157618
40,-0.3028431008976995
41,-0.29907864807993084
42,-0.29731404536652367
43,-0.29536098881623424
44,-0.29168954144526127
45,-0.28838348978953476
46,-0.28806373153593073
47,-0.28448299179755476
48,-0.2809467619910806
49,-0.27972118532330453
50,-0.2774544888414355
51,-0.27400562595096295
52,-0.2713190743886818
53,-0.2705996337139332
54,-0.2672359792321174
55,-0.26391413623141013
56,-0.2631693414356414
57,-0.26063358497949
58,-0.2573938122045026
59,-0.2552644056733461
60,-0.2541943110147536
61,-0.2510345808194024
62,-0.24791412725013914
63,-0.247596914018579
64,-0.24483246208383688
65,-0.24178910316616395
66,-0.24015973425598838
67,-0.23878357433614747
68,-0.23581540535167325
69,-0.23294594840377958
70,-0.2328841318159118
71,-0.22998929510465993
72,-0.22713044229458443
73,-0.2259488462786859
74,-0.22430712609235837
75,-0.2215189047646775
76,-0.21916191925423012
77,-0.2187653420691479
78,-0.21604600718603137
79,-0.21336047465083963
80,-0.2125788542064736
81,-0.2107083242877672
82,-0.20808914114395075
83,-0.20619352764161816
84,-0.20550251542454556
85,-0.20294804242861028
86,-0.20042532248578718
87,-0.2
88,-0.1979339608937704
89,-0.19547356785655082
90,-0.19304375842342977
91,-0.19064415242878904
92,-0.188274374432611
93,-0.18593405366173807
94,-0.18362282395186105
95,-0.1813403236902297
96,-0.1790861957590759
97,-0.17686008747973808
98,-0.1746616505574823
99,-0.1724905410270086
100,-0.17034641919863355
101,-0.16822894960514348
102,-0.16613780094930786
103,-0.1640726460520439
104,-0.16203316180122704
105,-0.1600190291011375
106,-0.15802993282253383
107,-0.15606556175334937
108,-0.1541256085499991
109,-0.15220976968929356
110,-0.15031774542095036
111,-0.14844923972069454
112,-0.14660396024394337
113,-0.14478161828006697
114,-0.14298192870721585
115,-0.1412046099477117
116,-0.13944938392399214
117,-0.13771597601510244
118,-0.1360041150137288
119,-0.134313533083766
120,-0.13264396571841117
121,-0.13099515169878012
122,-0.1293668330530367
123,-0.12775875501603084
124,-0.126170665989439
125,-0.12460231750239811
126,-0.12305346417263091
127,-0.12152386366805373
128,-0.12001327666886086
129,-0.1185214668300811
130,-0.11704820074459985
131,-0.11559324790663976
132,-0.11415638067569632
133,-0.1127373742409219
134,-0.11133600658595108
135,-0.10995205845416534
136,-0.10858531331438732
137,-0.10723555732700317
138,-0.10590257931050552
139,-0.10458617070845169
140,-0.10328612555683347
141,-0.10200224045185248
142,-0.10073431451809516
143,-0.1
144,-0.09948214937710438
145,-0.09824554911634159
146,-0.09702432025853393
147,-0.09581827173140331
148,-0.09462721483777166
149,-0.09345096322603702
150,-0.09228933286101741
151,-0.09114214199515716
152,-0.09000921114009022
153,-0.0888903630385583
154,-0.08778542263667673
155,-0.086694217056546
156,-0.0856165755692037
157,-0.08455232956791192
158,-0.08350131254177744
159,-0.08246336004969988
160,-0.08143830969464287
161,-0.08042600109822585
162,-0.07942627587563166
163,-0.07843897761082529
164,-0.07746395183208146
165,-0.07650104598781635
166,-0.07555010942271898
167,-0.07461099335418041
168,-0.07368355084901491
169,-0.07276763680047106
170,-0.07186310790552879
171,-0.07096982264247782
172,-0.07008764124877562
173,-0.06921642569918042
174,-0.06835603968415556
175,-0.06750634858854279
176,-0.06666721947050075
177,-0.0658385210407046
178,-0.06502012364180486
179,-0.06421189922814145
180,-0.06341372134570947
181,-0.0626254651123747
182,-0.06184700719833432
183,-0.06107822580682101
184,-0.06031900065504693
185,-0.05956921295538401
186,-0.05882874539677875
187,-0.05809748212639804
188,-0.057375308731502525
189,-0.05666211222154597
190,-0.05595778101049696
191,-0.05526220489937995
192,-0.054575275059033805
193,-0.053896884013084664
194,-0.05322692562112996
195,-0.05256529506213196
196,-0.05191188881801772
197,-0.05126660465748239
198,-0.05062934161999461
199,-0.05
