noise_dir,noise_level,split,count,gamma_median_factor,gamma_p90_factor,gamma_within_x1p1,gamma_within_x1p2,gamma_within_x1p5,gamma_within_x2,gamma_log10_mae,second_median_abs_error,second_p90_abs_error,second_median_norm_error,second_p90_norm_error,median_f_relative_l2,p90_f_relative_l2,median_g_clean_relative_l2,catastrophic_gamma_factor_ge5,catastrophic_gamma_factor_ge10
noise_0pct,0.0,test_independent,4991,1.2488834998414136,2.434112158529881,0.3548387096774194,0.45161290322580644,0.6451612903225806,0.7419354838709677,0.17483856567516623,0.006801903247833252,0.012443378567695618,0.04534602165222167,0.08295585711797077,0.044910918921232224,0.3688160479068756,0.01333980355411768,0.0,0.0
noise_0p2pct,0.0020000000949949026,test_independent,4991,1.2647772587371717,3.082113585707387,0.36706070927669804,0.4592266078942096,0.6135043077539571,0.7413344019234622,0.1839225785819013,0.007091499865055084,0.013645723462104797,0.04727666576703389,0.0909714897473653,0.0517541840672493,0.4108269214630127,0.013287321664392948,0.010819475055099179,0.0
noise_1pct,0.009999999776482582,test_independent,4991,1.4586143070471078,6.76488089058284,0.2688839911841314,0.366659987978361,0.5297535564015228,0.6661991584852734,0.3038043629883616,0.008947029709815979,0.018471285700798035,0.059646864732106515,0.12314190467198688,0.08747853338718414,0.48464861512184143,0.014021044597029686,0.1460629132438389,0.06291324383891003
