epoch,train_loss,val_loss,gamma_median_factor,gamma_within_x1p2,a1_median_norm_error,lr,is_best
1,0.44748358237437713,0.4619959713298799,3.569147986490442,0.06060606060606061,0.11804968118667601,0.001,1
2,0.368337387075791,0.292690635481716,2.1665761121125158,0.28504828504828505,0.05242476860682169,0.0009996149036022412,1
3,0.27661372128969586,0.3527255948686298,2.836380931277398,0.22377622377622378,0.040252183874448136,0.0009984602081996976,0
4,0.2480120804065313,0.1799715533033832,1.37699219128341,0.24875124875124874,0.04621316989262898,0.0009965376942489858,1
5,0.23563836448085615,0.4285024917407549,2.5758424254583434,0.18581418581418582,0.03367240230242411,0.0009938503261272714,0
6,0.18082370427556527,0.08344530832249444,1.2985857386825992,0.3336663336663337,0.05058238903681436,0.0009904022475614137,1
7,0.15053312165232804,0.059147567973607706,1.3177182102844287,0.31535131535131533,0.035927295684814446,0.0009861987752386395,1
8,0.10971500820074326,0.05047695204625517,1.2725308780442353,0.39294039294039296,0.027481615543365475,0.000981246390608597,1
9,0.15829075533801165,0.05985157583758627,1.2830572985152329,0.38694638694638694,0.03409425417582194,0.0009755527298894296,0
10,0.1008787160882583,0.37207589476377695,1.5312687911511083,0.3013653013653014,0.068169633547465,0.0009691265722932812,0
11,0.09871029696212365,0.058778875017717926,1.2606047046856161,0.4302364302364302,0.01607507467269897,0.0009619778264893879,0
12,0.10829457198866667,0.07216130974856051,1.3328720462279917,0.42124542124542125,0.026539762814839676,0.0009541175153256283,0
13,0.09081221844714421,0.15127395851648612,1.3940759606016204,0.3626373626373626,0.025069415569305416,0.0009455577588320899,0
14,0.0834411575148503,0.05328992093642513,1.2197095689881805,0.47585747585747584,0.012589097023010252,0.0009363117555328624,0
15,0.06638129380268928,0.1528522188003326,1.2623589580358778,0.4518814518814519,0.02143303553263346,0.0009263937620948693,0
16,0.0681864897457835,0.05824527238959914,1.1710735041593778,0.5344655344655345,0.010682543118794758,0.0009158190713451217,0
17,0.04662416302240812,0.06085554262622571,1.1603009963625794,0.5354645354645354,0.017406394084294636,0.0009046039886902866,0
18,0.08184787702675049,0.06083128609251984,1.145635955217046,0.5377955377955378,0.013388345638910927,0.0008927658069749323,0
19,0.04688896900281692,0.059237782141585135,1.2488321182350854,0.44755244755244755,0.03784239292144775,0.0008803227798172158,0
20,0.036696033409008615,0.05946386151221685,1.1504810781918393,0.5521145521145521,0.02543230851491292,0.0008672940934631253,0
21,0.05675983414627039,0.0647252212404768,1.1250671581687528,0.5531135531135531,0.026801327864329018,0.0008536998372026807,0
22,0.06014422069375332,0.05878393312831184,1.172933112565074,0.5261405261405261,0.015415251255035399,0.0008395609723937048,0
23,0.062456112092313096,0.06321881491414237,1.1223916451267781,0.5777555777555777,0.02066661914189656,0.0008248993001409271,0
