state_id,a1,m,gamma,q2_points,recovery_alias_margin_rms_snr,recovery_alias_mahalanobis,recovery_alias_margin_grid_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
0,0.08935047569684684,1.0435524553060531,0.016660916064446266,256,0.00937257716467755,0.1499612346348408,0.020041493951257126,0.00937257716467755,-0.010668916786579576,continuous_direct_verified,gamma_low,0.0890615001495134,1.0401134660439226,0.013884096720371886,0.00028897554733343933,0.0034389892621304874,1.2000000000000002
1,0.13169503202661875,0.5633267313241959,0.8014574692050626,256,0.048773074593829645,0.7803691935012743,0.0887974208108092,0.048773074593829645,-0.040024346216979555,continuous_direct_verified,a1_high,0.13669770337195086,0.5516441406200843,0.8832033144508443,0.00500267134533211,0.011682590704111595,1.1019964856361781
2,0.16365816835314037,0.9154286861419677,0.044410161481482385,256,0.03264412111364444,0.522305937818311,0.04838499900005697,0.03264412111364444,-0.015740877886412534,continuous_direct_verified,gamma_low,0.16237652203039735,0.9087417154552986,0.03700846790123532,0.0012816463227430241,0.006686970686669125,1.2000000000000002
3,0.05571149964816868,0.6914491593837738,0.3006747794573407,256,0.06413210482347649,1.0261136771756239,0.09809072395632494,0.06413210482347649,-0.03395861913284845,continuous_direct_verified,gamma_low,0.053512930389081316,0.6803975392330671,0.25056231621445063,0.002198569259087367,0.011051620150706709,1.2
4,0.07997829578816891,0.8007249414920807,0.497662172491272,256,0.0813687008863675,1.30189921418188,0.09497118166407621,0.0813687008863675,-0.013602480777708717,continuous_direct_verified,a1_high,0.08497829578816891,0.8086377712241339,0.5884311490209302,0.0050000000000000044,0.007912829732053206,1.1823907492813313
5,0.197319375583902,0.7799688220024108,0.026850406139870567,256,0.021463973743943793,0.3434235799031007,0.030985588640895848,0.021463973743943793,-0.009521614896952055,continuous_direct_verified,gamma_low,0.19643473002350237,0.7769114054669196,0.022375338449892136,0.0008846455603996328,0.0030574165354911864,1.2000000000000002
6,0.15428723148070278,1.1288494616746902,0.15318540985105897,256,0.0896026721944074,1.4336427551105184,0.12284459948612306,0.0896026721944074,-0.033241927291715656,continuous_direct_verified,gamma_low,0.15003873925976804,1.1007791009131351,0.1276545082092158,0.004248492220934735,0.028070360761555113,1.2
7,0.12133488627150656,0.4518456429243088,0.08723044264445591,256,0.04504563609930929,0.7207301775889486,0.12545630366231944,0.04504563609930929,-0.08041066756301016,continuous_direct_verified,gamma_low,0.11983153095079084,0.44995417279569966,0.07269203553704658,0.0015033553207157158,0.0018914701286091296,1.2000000000000002
8,0.10881659854203464,0.9819118052721023,0.1095829316785808,256,0.05683334664654622,0.9093335463447395,0.0779407574890394,0.05683334664654622,-0.021107410842493186,continuous_direct_verified,gamma_low,0.10674514043842469,0.9652850153637137,0.09131910973215066,0.002071458103609952,0.016626789908388617,1.2000000000000002
9,0.1508641809690744,0.6112594574689865,0.06825389838225564,256,0.04261663116920964,0.6818660987073543,0.06563234365562326,0.04261663116920964,-0.02301571248641362,continuous_direct_verified,gamma_low,0.1493273218218324,0.6072214842222977,0.05687824865187969,0.001536859147241998,0.004037973246688753,1.2000000000000002
10,0.18517564493231475,1.06003480553627,0.3895163854140593,256,0.0668550679950273,1.0696810879204368,0.09356365627572057,0.0668550679950273,-0.026708588280693266,continuous_direct_verified,a1_high,0.19017564493231476,1.0757910039719518,0.4206423509841235,0.0050000000000000044,0.015756198435681767,1.0799092585976249
11,0.07751679485663772,0.5331347346305847,0.019201919022730808,256,0.010490389749004018,0.16784623598406428,0.03926051319219733,0.010490389749004018,-0.028770123443193314,continuous_direct_verified,gamma_low,0.07730316818384897,0.5322691806071023,0.016001599185609006,0.0002136266727887498,0.0008655540234824288,1.2000000000000002
12,0.06193982339464128,1.174640130996704,0.03177378957478014,256,0.013457165096002182,0.2153146415360349,0.019997463648153503,0.013457165096002182,-0.006540298552151321,continuous_direct_verified,gamma_low,0.06153782382177375,1.1666966448786729,0.026478157978983445,0.0004019995728675313,0.007943486118031196,1.2000000000000002
13,0.1789930840022862,0.4447134912014008,0.2352985256338312,256,0.08274147511444956,1.323863601831193,0.13638661530108387,0.08274147511444956,-0.05364514018663431,continuous_direct_verified,a1_high,0.1839930840022862,0.44502903972211094,0.27019539675194754,0.0050000000000000044,0.0003155485207101405,1.1483089238409527
14,0.1383001122623682,0.8965179055929184,0.01304225134267941,256,0.009475787051246479,0.15161259281994366,0.03018524893001856,0.009475787051246479,-0.02070946187877208,continuous_direct_verified,gamma_low,0.13798148350512138,0.8945403001433803,0.010868542785566173,0.00031862875724683604,0.001977605449538178,1.2000000000000002
15,0.10564474151469769,0.7228374391794204,0.5732388971948006,256,0.07051985640865861,1.1283177025385378,0.08998592542732457,0.07051985640865861,-0.01946606901866596,continuous_direct_verified,a1_high,0.11064474151469769,0.7219155461422039,0.6496838191116355,0.0050000000000000044,0.0009218930372165701,1.1333561317819245
16,0.10108942384831608,0.8734496988356113,0.059860870951394966,256,0.03275745965634569,0.524119354501531,0.06642447275722017,0.03275745965634569,-0.033667013100874485,continuous_direct_verified,gamma_low,0.10005656283165013,0.865495634051276,0.04988405912616247,0.0010328610166659563,0.007954064784335246,1.2
