design_id,mahalanobis_threshold,eligible_states,eligible_fraction
hybrid_near_200,0.25,84,0.875
hybrid_near_200,0.5,67,0.6979166666666666
hybrid_near_200,1.0,50,0.5208333333333334
hybrid_near_200,1.5,31,0.3229166666666667
hybrid_near_200,2.0,21,0.21875
hybrid_near_200,2.5,6,0.0625
hybrid_near_200,3.0,1,0.010416666666666666
hybrid_near_200,3.3,0,0.0
hybrid_near_200,4.0,0,0.0
hybrid_near_200,5.0,0,0.0
